employee_id,is_promoted
8724,1
74430,0
72255,0
38562,0
64486,0
46232,0
54542,1
67269,0
66174,0
76303,1
60245,1
42639,0
30963,0
54055,0
42996,1
12737,1
27561,0
26622,1
31582,1
29793,0
72735,0
5677,0
60889,0
51498,0
8566,0
53151,1
16203,1
61083,1
74849,0
13259,0
72407,0
65237,0
67672,1
77460,1
67317,0
68788,0
36834,1
64281,1
1822,0
55325,0
41432,1
52061,0
39973,1
42524,0
7935,1
49940,1
10059,0
44159,1
76691,0
3720,1
5621,0
24147,0
33997,0
64076,1
21379,1
23714,0
19866,0
4529,1
64703,0
19649,1
6596,0
7999,1
4762,0
5387,0
24620,0
57989,1
75619,0
26977,0
65975,1
51302,0
63714,0
70556,1
70117,0
51972,0
60572,0
9548,0
64,1
35510,0
10732,1
9214,0
10761,1
32110,0
50038,0
1555,1
21200,0
50380,0
45009,1
65450,0
77333,0
2347,1
8443,0
39490,0
69077,0
64652,0
5254,0
71131,1
19620,0
41266,0
11001,0
28530,1
72481,0
67417,1
51840,1
43223,1
40287,0
29367,0
36352,1
29681,0
30233,0
66601,0
40276,1
1522,0
17936,0
26270,0
6837,0
49665,0
1908,0
6474,0
27495,0
24324,1
14299,1
56246,0
3901,1
41566,0
55735,1
53627,1
62683,0
42719,0
44948,1
26037,1
30607,1
46103,0
6452,0
47286,0
44117,0
1367,1
26228,0
65694,0
2721,0
63901,0
4701,0
35341,0
3203,0
10361,1
6572,1
70408,0
11774,1
37873,0
3886,0
23347,0
3034,0
30137,1
52431,0
11061,1
9706,0
17607,0
64986,1
8082,0
20982,0
5794,0
69381,1
50176,0
1612,0
48923,1
50366,1
48813,0
5574,0
57601,1
26788,0
564,0
3864,0
19598,0
19513,1
74965,1
42353,1
13367,0
38556,0
51344,1
28320,0
56104,0
68882,0
75800,1
13223,0
62740,1
67233,0
49207,0
19053,0
38096,0
46519,0
2111,1
69413,0
53827,0
40064,1
33502,0
15182,0
13593,1
15613,0
75751,0
71625,0
37763,1
10812,1
67357,0
49583,1
45428,0
9978,0
44266,0
47252,1
57884,0
24334,1
58892,0
40799,0
33879,1
24403,0
51150,1
7722,1
71271,1
56772,1
65909,1
8228,0
52138,0
22999,1
29196,1
10663,1
65651,1
17973,0
10986,1
19355,0
75402,0
52587,0
41662,0
73944,0
3987,0
40057,1
76195,0
12411,1
15161,1
59084,1
53857,1
42772,0
5294,0
56439,1
29998,1
76599,1
27424,0
45605,0
75833,0
57068,1
70129,0
14733,0
71886,1
7561,0
59522,0
44299,0
29220,0
15869,1
51270,0
14778,1
19212,1
70890,0
31183,0
46628,0
44670,0
70734,1
47051,0
17760,1
8180,0
24756,0
56780,0
59919,1
18924,0
42477,0
50900,0
11824,0
51740,0
51364,0
64265,0
